103283, 309
103284, 16
103285, 1109
103286, 52
103287, 1462
103289, 14
103355, 2216
103356, 3642
103357, 278
103358, 102
103441, 1051
103455, 55845
103519, 128006
103537, 73406
103538, 60158
1036309, 3967
1036310, 45
1036311, 4570
1036312, 1749
1036313, 596
1036315, 17887
1036316, 21888
1036317, 17508
1036318, 35437
1036319, 33837
1036320, 17910
1036392, 7694
1036393, 470
1036394, 568
1036395, 420
1036396, 3644
1036398, 7637
1036399, 10301
1036400, 41
1036401, 66708
1036402, 148910
1036403, 377291
1036428, 26252
1036429, 72012
1036462, 187
1036464, 11781
1036466, 30760
1036467, 42706
1036468, 8669
1036471, 60117
1036473, 56460
1036650, 1749
1036651, 33837
1036652, 21888
1036653, 4036
1036654, 375
1036655, 4362
1036656, 15503
1036657, 16697
1037020, 770
1037022, 1265
1037151, 1965
103737, 180
103742, 2844
103815, 6869
103817, 13634
103824, 1388
103825, 1289
103826, 2788
1038432, 127
1038433, 129
1041432, 779239
1041448, 777954
104187, 12365
104188, 11415
104290, 381
104294, 395
104301, 2417
1043436, 9845
1043461, 68
1043471, 44215
104400, 5493
104401, 19
104402, 1328
104403, 102
104404, 9690
104421, 676
1044251, 458
1044252, 47946
104431, 16
104432, 451
104442, 122178
104445, 5
104509, 8058
104510, 7849
104511, 120
104512, 113
104513, 251
104559, 122106
104563, 44156
104582, 88884
104606, 79266
104639, 3791
104640, 1728
104644, 7426
104645, 7271
104646, 266
104647, 31649
104737, 3601
104738, 12296
1047582, 85412
1047980, 20738
1047981, 14669
104929, 2777
104930, 1383
104968, 3816
104969, 48710
1050061, 13139
105103, 608
1051177, 86497
1051178, 41138
1051179, 53455
105120, 586
1051670, 57554
105171, 2620
105174, 39398
105220, 3786
105226, 2241
105230, 1062
105330, 723
105336, 465
1053374, 190
1053376, 98899
1053378, 155709
105338, 644
1053391, 146964
1053397, 146964
105348, 3481
1053568, 5678
105382, 18978
1053874, 95
1053875, 45432
105413, 2254
105414, 18072
1054518, 1339
1055250, 439231
105558, 10644
105559, 2395
105637, 630
105662, 31937
105685, 2771
105686, 3337
105687, 501
105688, 281
105690, 33398
1056913, 2769
105691, 1018
105692, 203
105693, 52145
105695, 1576
105696, 71
105761, 88262
105762, 112365
105765, 19420
105803, 18
105804, 343
105805, 2829
105857, 25410
105859, 6650
105860, 6361
105861, 22945
105862, 38904
105863, 28068
105864, 30218
105865, 44828
105866, 51698
105875, 1936
105924, 2474
105925, 3513
1059578, 30079
1059579, 48907
106037, 38473
106039, 125
106040, 30910
106090, 1488
106100, 7053
106146, 1355
106337, 429260
106368, 3250
106370, 98175
1063851, 2656
1063852, 95608
1063853, 7829
1063854, 9956
1063855, 49133
1063857, 12008
1063858, 944
1063861, 155728
1063862, 17261
1064467, 7733
1064469, 5273
1064655, 3230
1064679, 115460
1064680, 215511
1065030, 27379
1065031, 95897
1065032, 211877
106557, 44219
106558, 17969
106559, 22225
106619, 73283
106620, 66588
106681, 3978
106683, 306
1066896, 174
1066897, 175
1066898, 239
1066899, 208
1066900, 380
1066901, 304
106705, 1032
106725, 180
106777, 467
106778, 323
106779, 380
106780, 546
106781, 458
106782, 348
106783, 294
106784, 698
106785, 366
106786, 750
106787, 319
106788, 385
106789, 274
106830, 6692
106831, 3667
106833, 5894
106838, 9687
106839, 6022
106840, 6022
106841, 369
106842, 2796
106884, 1326
1069352, 4297
106950, 231977
107007, 2525
107008, 9167
107041, 6231
107046, 24
107066, 891
107067, 662
107068, 218
107069, 4135
107070, 3723
107071, 3776
107100, 4537
107148, 31086
107149, 202
1071710, 80
107202, 2185
107295, 20916
107389, 2554
107390, 1798
107391, 587
107392, 231
1073930, 9277
107402, 2348
107434, 909
107436, 1649
107437, 4680
107438, 11486
107439, 452
107440, 5736
107445, 281
107543, 116414
107544, 1706
1075455, 296
1075456, 300
1075457, 799
1075458, 2047
107545, 124582
107554, 121657
107558, 501
107586, 3510
107587, 51021
107909, 3582
107910, 58036
1079827, 23464
1079828, 28
108000, 130512
108005, 108974
108010, 18436
1080330, 9173
1080515, 10931
1080516, 15696
1081358, 39297
108147, 85094
108199, 757
1082149, 613
1082231, 2867
108292, 3071
108293, 338
108312, 26261
108313, 134
108319, 274
108321, 308
108322, 84
108327, 13587
108328, 200
108329, 289
108330, 281
108331, 4658
108332, 252
1083348, 3716
1083349, 16868
108334, 138
1083350, 2051
1083351, 10260
1083352, 8243
1083353, 1263
1083354, 3841
108335, 156
108336, 8520
108337, 313
